"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,6,3.01760047465257,1.23843085731867,1.55043950379169,1.65031003201471,2.13778691657015,2.64059944070868,3.59961616835049,5.6019671852259,6.20401110037835
3,7,2.44568419659924,0.828255926234578,1.465725679915,1.54275357654619,1.84535130741318,2.19115545923918,2.85365471852634,4.14051220870393,4.6128683030475
4,8,2.41508181793639,0.647435135556701,1.56804792352251,1.64065443612568,1.93191521044121,2.2474552928073,2.76033480366924,3.71281309628463,4.00071921062567
5,9,2.10452544620835,0.547984077143541,1.41318382120443,1.45296935292507,1.6805242966423,1.95936046603297,2.42037656845778,3.21067623149564,3.4048527642747
6,10,1.75001856015349,0.395598293137229,1.23296090951206,1.27224295618367,1.4408426320056,1.64677657358582,2.01053741672793,2.53324300480763,2.66907787750171
7,11,1.62708149938957,0.283199375600042,1.21892975577499,1.26454895233213,1.41046556839047,1.56569242003137,1.81461668208403,2.17794703549946,2.25171873502136
8,12,1.44472516222736,0.220056800372469,1.12276524679455,1.15428419400532,1.27191530770714,1.40445133508452,1.59636850572209,1.8547388394338,1.91182575557315
9,13,1.31238258598703,0.161029518798065,1.06311926256488,1.08943879889832,1.19129542310332,1.28392411414082,1.42351870131891,1.61042752612832,1.65229196721729
10,14,1.17067044969354,0.11344626523543,0.978178141920762,1.00161836101608,1.08556174900746,1.15761970547584,1.2462198956119,1.37713276513982,1.40846515931105
11,15,1.39475730823554,0.0967912778689069,1.21918866152149,1.24526568309737,1.32564894538939,1.3908908430024,1.4592047632055,1.5585511538841,1.59435837939162
12,16,1.2974698074204,0.129421550504733,1.08749707295347,1.10806105447404,1.19636157570888,1.28347341794086,1.39392385075947,1.52352082401533,1.55983648315906
13,17,1.39792477422466,0.121764871899332,1.19732594095162,1.22372963599522,1.30386164340168,1.3841254207332,1.48570706462337,1.61245717641314,1.64157670199435
14,18,1.29242638260715,0.133580777009862,1.08282758430769,1.10037995399832,1.18764252411955,1.2734605791666,1.39054584065731,1.53098352870035,1.5659932623403
15,19,1.42452814169483,0.117526316945335,1.23636908144359,1.25590176550686,1.33188329124237,1.41071655719527,1.50462745754445,1.63519591853785,1.66416961133223
16,20,1.42430356933656,0.148692554772767,1.19712055664723,1.21662658911574,1.30521827859457,1.40072206725366,1.53929042007803,1.68778867246123,1.71433970675699
17,21,1.55032605913411,0.164979553774041,1.30731315109843,1.32733070764609,1.41458735773631,1.52111227647826,1.67248455294329,1.85026637461276,1.88135059182202
18,22,1.65004998908263,0.209979854497466,1.35438593256448,1.37045160664316,1.47525622484461,1.60820164855799,1.82189238500122,2.03836304666293,2.07920210483049
