date,PudongNew,Huangpu,Xuhui,Changning,Jingan,Putuo,Hongkou,Yangpu,Minhang,Baoshan,Jiading,Jinshan,Songjiang,Qingpu,Fengxian,Chongming
2022/3/27,422,6,53,4,4,17,4,9,40,15,12,3,15,8,5,0
2022/3/28,367,16,25,9,4,25,3,6,26,12,35,1,9,4,15,0
2022/3/29,192,47,98,0,11,8,17,8,45,60,13,1,4,2,18,1
2022/3/30,298,70,95,12,16,29,54,6,81,18,41,3,27,9,60,2
2022/3/31,147,22,22,34,13,4,24,13,60,8,11,1,33,21,5,16
2022/4/1,79,17,217,5,31,34,15,17,153,19,27,0,21,11,3,0
2022/4/2,105,147,254,12,37,59,138,22,82,54,55,0,11,36,3,0
2022/4/3,206,37,72,6,45,57,20,30,60,64,18,7,23,5,10,1
2022/4/4,348,29,28,2,5,10,9,10,31,2,4,1,9,4,2,0
2022/4/5,231,35,70,5,17,9,9,26,51,14,4,0,32,2,4,1
2022/4/6,351,39,29,14,17,16,54,20,34,17,27,2,4,2,6,1
2022/4/7,424,45,11,11,7,21,11,13,31,4,5,6,6,3,1,1
2022/4/8,316,34,201,3,25,47,5,18,39,15,27,5,15,2,2,2
2022/4/9,301,3,50,15,18,15,31,8,46,14,7,3,8,1,5,0
2022/4/10,351,161,235,6,14,52,26,12,40,14,10,4,4,8,4,2
2022/4/11,276,49,45,4,15,26,6,8,28,9,14,3,12,8,0,1
2022/4/12,318,57,32,7,68,63,21,8,18,14,12,2,6,7,2,6
2022/4/13,440,34,29,11,11,29,1,1,13,6,4,0,7,1,2,9
2022/4/14,211,30,65,13,12,11,7,2,9,1,3,0,6,4,2,2
2022/4/15,329,18,24,33,19,19,3,2,9,1,10,0,8,11,2,7
2022/4/16,290,25,20,13,5,23,1,1,3,7,5,0,1,3,1,17
2022/4/17,190,55,40,19,5,17,0,5,21,4,8,1,8,7,5,21
2022/4/18,174,83,21,7,4,1,6,2,10,4,3,0,1,15,0,3
2022/4/19,85,23,61,2,26,5,4,1,1,0,10,0,2,7,2,0
2022/4/20,104,36,22,13,3,21,4,11,7,8,3,1,6,3,0,0
2022/4/21,20,4,38,7,8,6,2,7,27,3,9,0,2,14,0,0
2022/4/22,28,2,27,4,9,2,5,11,17,18,5,1,2,13,0,0
2022/4/23,59,0,14,17,5,0,15,18,20,30,8,1,3,37,8,1
2022/4/24,52,1,9,2,14,3,7,22,16,15,3,1,0,3,0,0
2022/4/25,49,0,10,3,2,4,10,66,6,24,20,0,5,0,0,0
2022/4/26,103,0,15,1,3,2,7,0,1,23,0,1,2,0,0,0
2022/4/27,97,0,6,19,15,9,22,0,2,18,0,0,2,0,0,0
2022/4/28,66,0,0,0,7,1,0,0,1,21,0,0,5,0,0,0
2022/4/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/4/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/1,10,8,3,0,0,0,21,0,0,11,0,0,4,1,0,0
2022/5/2,2,43,3,6,2,0,0,0,0,12,0,0,0,0,2,1
2022/5/3,1,35,2,4,0,0,2,6,0,6,1,0,3,0,1,1
2022/5/4,2,12,2,6,1,0,3,0,0,4,1,0,2,0,0,0
2022/5/5,4,4,1,2,2,0,1,2,0,2,0,0,4,0,1,0
2022/5/6,7,1,2,0,0,0,2,0,0,2,0,1,3,0,0,0
2022/5/7,6,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0
2022/5/8,2,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0
2022/5/9,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2022/5/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/5/12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022/5/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2022/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022/5/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
